Time (Sec);S1;S11;S17;S18;S2;S20;S24;S25;S26;S33;S34;S35;S41;S42;S43;S46;S47;S48;S49;S50;S51;S7;
3420.0096733330806;19157.634219999614;19134.956969598974;19158.202318399934;19156.949098399196;19156.768392799502;19156.624265599352;19156.24400639894;19156.714975999377;19158.041700799928;19156.822188799382;19156.405135999004;19158.11583199993;19156.317535199272;19156.475481598987;19158.000516799926;19151.572380801394;19148.882487997438;19148.180038397266;19151.78129599778;19150.70350399757;19149.830607997355;19158.37735039994;
3480.009673333068;19157.593837599612;19134.43421279895;19158.163193599932;19156.856967199168;19156.7280103995;19156.581041599344;19156.200782398933;19156.650139999365;19158.010812799926;19156.75735279937;19156.313004798976;19158.07464799993;19156.231087199256;19156.38335039896;19157.951095999924;19151.39643360142;19148.63587039738;19147.890329597205;19151.63559039774;19150.50199519752;19149.672339197314;19158.34852159994;
3540.0096733330574;19157.565021599607;19134.03166239894;19158.13024639993;19156.76483599914;19156.663174399488;19156.55222559934;19156.171966398928;19156.606915999357;19157.988161599926;19156.71412879936;19156.269780798968;19158.045819199928;19156.187863199248;19156.29121919893;19157.911971199923;19151.260984001445;19148.46777279734;19147.65259839715;19151.505726397703;19150.331620797475;19149.562126397283;19158.323811199938;
3600.00967333305;19157.5362055996;19133.6347311989;19158.09935839993;19156.72161199913;19156.57672639947;19156.487389599326;19156.102867998907;19156.542079999344;19157.955214399924;19156.64929279935;19156.240964798963;19158.021108799927;19156.123027199235;19156.247995198923;19157.88108319992;19151.127364801465;19148.324291197307;19147.47750879711;19151.34342399766;19150.172878397432;19149.384615997238;19158.290863999937;
3660.0096733330397;19157.507389599596;19133.153447998873;19158.05817439993;19156.65251359911;19156.53634399947;19156.40094159931;19156.01073679888;19156.498855999336;19157.916089599923;19156.60606879934;19156.17186639894;19157.990220799926;19156.03657919922;19156.1788967989;19157.83989919992;19150.96537440149;19148.137425597266;19147.23654239706;19151.22700639763;19149.956065597376;19149.182633597185;19158.268212799936;
3720.0096733330283;19157.47857359959;19132.700047998842;19158.008753599926;19156.560382399082;19156.509422399467;19156.30881039928;19155.96751279887;19156.434019999324;19157.885201599922;19156.577252799336;19156.128642398933;19157.967569599925;19155.950131199203;19156.086765598873;19157.79047839992;19150.812764801514;19148.009934397236;19146.946833596998;19151.141265597606;19149.69415039731;19149.024364797144;19158.251739199935;
3780.009673333023;19157.449757599585;19132.300307198817;19157.979924799925;19156.517158399074;19156.444586399455;19156.265586399273;19155.938696798865;19156.390795999316;19157.86255039992;19156.512416799324;19156.099826398928;19157.942859199924;19155.906907199194;19155.994634398845;19157.751353599917;19150.678230401536;19147.866452797203;19146.709102396944;19151.01140159757;19149.54287359727;19148.905627197113;19158.227028799934;
3840.0096733330165;19157.422835999583;19131.86260479878;19157.946977599924;19156.448059999053;19156.35813839944;19156.20075039926;19155.90988079886;19156.325959999303;19157.83783999992;19156.425968799307;19156.071010398922;19157.909911999923;19155.842071199182;19155.902503198817;19157.710169599915;19150.530883201558;19147.67514399716;19146.46236799689;19150.850487997526;19149.374361597227;19148.77919519708;19158.194081599933;
3900.0096733330056;19157.394019999578;19131.438492798738;19157.907852799923;19156.355928799025;19156.271690399422;19156.157526399253;19155.881064798854;19156.282735999295;19157.81518879992;19156.33952079929;19156.0019119989;19157.86872799992;19155.798847199174;19155.85927919881;19157.681340799914;19150.38811200158;19147.434177597108;19146.301836796854;19150.68132159748;19149.172379197174;19148.66898239705;19158.161134399932;
3960.009673332999;19157.365203999572;19131.04366879869;19157.87696479992;19156.312704799017;19156.185242399406;19156.09269039924;19155.85224879885;19156.217899999283;19157.79047839992;19156.253072799274;19155.958687998893;19157.82960319992;19155.77003119917;19155.8285687988;19157.664867199914;19150.2551792016;19147.202507197057;19146.205267196834;19150.507062397435;19149.01363679713;19148.542550397015;19158.12818719993;
